Stand when hand is >= 8 & dealer face up card is = 10 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3045,429,6328,700,627,54,0.3045
Stand when hand is >= 8 & dealer face up card is = 11 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,2517,283,6974,2935,509,150,0.2517
Stand when hand is >= 9 & dealer face up card is = 2 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4599,480,4948,0,453,0,0.4599
Stand when hand is >= 9 & dealer face up card is = 3 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4777,486,4815,0,408,0,0.4777
Stand when hand is >= 9 & dealer face up card is = 4 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4970,464,4661,0,369,0,0.497
Stand when hand is >= 9 & dealer face up card is = 5 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5071,488,4556,0,373,0,0.5071
Stand when hand is >= 9 & dealer face up card is = 6 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5149,448,4461,0,390,0,0.5149
Stand when hand is >= 9 & dealer face up card is = 7 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4150,478,5297,0,553,0,0.415
Stand when hand is >= 9 & dealer face up card is = 8 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3914,499,5589,0,497,0,0.3914
Stand when hand is >= 9 & dealer face up card is = 9 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3550,433,5964,0,486,0,0.355
Stand when hand is >= 9 & dealer face up card is = 10 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3095,433,6297,718,608,46,0.3095
Stand when hand is >= 9 & dealer face up card is = 11 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,2542,276,6857,2877,601,205,0.2542
Stand when hand is >= 10 & dealer face up card is = 2 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4552,476,5017,0,431,0,0.4552
Stand when hand is >= 10 & dealer face up card is = 3 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4755,503,4827,0,418,0,0.4755
Stand when hand is >= 10 & dealer face up card is = 4 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4873,459,4688,0,439,0,0.4873
Stand when hand is >= 10 & dealer face up card is = 5 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5061,461,4533,0,406,0,0.5061
Stand when hand is >= 10 & dealer face up card is = 6 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5253,464,4337,0,410,0,0.5253
Stand when hand is >= 10 & dealer face up card is = 7 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4295,496,5162,0,543,0,0.4295
Stand when hand is >= 10 & dealer face up card is = 8 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3815,463,5645,0,540,0,0.3815
Stand when hand is >= 10 & dealer face up card is = 9 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3517,433,5908,0,575,0,0.3517
Stand when hand is >= 10 & dealer face up card is = 10 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3152,447,6177,739,671,37,0.3152
Stand when hand is >= 10 & dealer face up card is = 11 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,2648,327,6790,2900,562,180,0.2648
Stand when hand is >= 11 & dealer face up card is = 2 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4667,442,4840,0,493,0,0.4667
Stand when hand is >= 11 & dealer face up card is = 3 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4861,429,4653,0,486,0,0.4861
Stand when hand is >= 11 & dealer face up card is = 4 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5000,453,4512,0,488,0,0.5
Stand when hand is >= 11 & dealer face up card is = 5 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5260,515,4277,0,463,0,0.526
Stand when hand is >= 11 & dealer face up card is = 6 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5332,484,4212,0,456,0,0.5332
Stand when hand is >= 11 & dealer face up card is = 7 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4426,467,4962,0,612,0,0.4426
Stand when hand is >= 11 & dealer face up card is = 8 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4034,450,5380,0,586,0,0.4034
Stand when hand is >= 11 & dealer face up card is = 9 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3678,471,5722,0,600,0,0.3678
Stand when hand is >= 11 & dealer face up card is = 10 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3225,433,6058,693,717,60,0.3225
Stand when hand is >= 11 & dealer face up card is = 11 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,2709,281,6645,2908,646,192,0.2709
Stand when hand is >= 12 & dealer face up card is = 2 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4941,464,4560,0,499,0,0.4941
Stand when hand is >= 12 & dealer face up card is = 3 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4918,461,4542,0,540,0,0.4918
Stand when hand is >= 12 & dealer face up card is = 4 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5157,491,4368,0,475,0,0.5157
Stand when hand is >= 12 & dealer face up card is = 5 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5354,468,4158,0,488,0,0.5354
Stand when hand is >= 12 & dealer face up card is = 6 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5385,463,4141,0,474,0,0.5385
Stand when hand is >= 12 & dealer face up card is = 7 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4605,444,4771,0,624,0,0.4605
Stand when hand is >= 12 & dealer face up card is = 8 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4260,517,5135,0,605,0,0.426
Stand when hand is >= 12 & dealer face up card is = 9 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3866,451,5490,0,644,0,0.3866
Stand when hand is >= 12 & dealer face up card is = 10 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3351,450,5902,704,747,66,0.3351
Stand when hand is >= 12 & dealer face up card is = 11 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,2913,284,6353,2819,734,260,0.2913
Stand when hand is >= 13 & dealer face up card is = 2 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4823,499,4604,0,573,0,0.4823
Stand when hand is >= 13 & dealer face up card is = 3 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4959,475,4479,0,562,0,0.4959
Stand when hand is >= 13 & dealer face up card is = 4 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5153,467,4293,0,554,0,0.5153
Stand when hand is >= 13 & dealer face up card is = 5 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5340,478,4152,0,508,0,0.534
Stand when hand is >= 13 & dealer face up card is = 6 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5484,527,4005,0,511,0,0.5484
Stand when hand is >= 13 & dealer face up card is = 7 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4717,482,4625,0,658,0,0.4717
Stand when hand is >= 13 & dealer face up card is = 8 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4364,490,4938,0,698,0,0.4364
Stand when hand is >= 13 & dealer face up card is = 9 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3867,460,5407,0,726,0,0.3867
Stand when hand is >= 13 & dealer face up card is = 10 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3396,450,5784,706,820,53,0.3396
Stand when hand is >= 13 & dealer face up card is = 11 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,2932,298,6287,2841,781,268,0.2932
Stand when hand is >= 14 & dealer face up card is = 2 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4839,470,4470,0,691,0,0.4839
Stand when hand is >= 14 & dealer face up card is = 3 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4931,477,4461,0,608,0,0.4931
